NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT06925802,Osteopathic Visceral Manipulation on Functional Constipation in Obese Adults,https://clinicaltrials.gov/study/NCT06925802,,COMPLETED,"Functional constipation in obese adults is a prevalent gastrointestinal issue characterized by infrequent bowel movements, difficulty during defecation, or a sensation of incomplete evacuation. Obesity is a significant risk factor for functional constipation due to several physiological and lifestyle-related factors. Excess body weight, particularly in the abdominal region, may exert pressure on the colon, leading to disrupted bowel function. Additionally, dietary habits common among obese individuals, such as low fiber intake and inadequate hydration, can worsen constipation. Sedentary lifestyles further contribute to reduced gastrointestinal motility. Addressing functional constipation in obese adults requires a multifaceted approach, including dietary modifications to increase fiber and fluid intake, regular physical activity, and, in some cases, medical interventions to alleviate symptoms and improve quality of life.",NO,Constipation - Functional,OTHER: visceral manipulation,"Stool consistency, Patients were asked to describe the consistency of their stools during the previous month, choosing between the terms ""hard or very hard,"" ""not too hard, not too soft (normal),"" ""soft or very soft,"" ""mucous, with undigested food,"" and ""liquid,"" they also had the opportunity to answer that the stools were ""variable"" in consistency. In addition, patients were asked to choose the BSS stool type that best represented their stools on a picture chart, at baseline and at three weeks|Defecation Pain, Clearly explain to the patient the purpose of assessing their defecation pain using Arabic version of Visual Analogue Scale (VAS) form: A horizontal or vertical line, typically 10 centimeters in length, anchored by two descriptors at each end representing ""no pain"" and ""worst possible pain."", at baseline and at three weeks","Defecation frequency, Utilize a standardized stool diary where participants record each defecation event, including the date, at baseline and at three weeks|Dose of oral laxative, dose of oral laxative and time. Ensure the diary is easy to use to promote accurate self-reporting. Supplement diary entries with qualitative interviews to understand lifestyle, dietary habits, and stress levels, which may influence bowel movement, at baseline and at three weeks",,MTI University,,ALL,ADULT,NA,110,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",IRB # 22 /3 / 2024-2025,2025-03-25,2025-04-25,2025-04-25,2025-04-13,,2025-04-29,"faculty of physical therapy ,Cairo University, Cairo, 4450113, Egypt",
NCT06924528,The Effects Of Toy In Chıldren Durıng Inhaler Therapy,https://clinicaltrials.gov/study/NCT06924528,,COMPLETED,"The purpose of the study is to investigate the effect of using a toy that children like during inhaler treatment on children's anxiety and emotional state. In the study, an inhaler treatment will be applied to children with a mask placed on a toy that they like. The purpose of this intervention is to reduce the child's anxiety and increase their emotional adjustment by improving adherence to the treatment.",NO,Lower Respiratory Tract Disease|Respiratory Disease,OTHER: using toy during inhaler treatment,"children's anxiety meter state, To measure state anxiety, children are asked to mark how they feel ""right now."" To measure trait anxiety, another copy of the scale is presented, and they are asked to mark how they ""usually feel at home."" Examples of being at home are provided to the children, like ""think about when you were playing outside with a friend"" and ""think about sitting quietly watching TV."" Before completing the scale, children were screened for their ability to rank order by size. They were asked to count to 10, and then answer, ""Which is bigger, 7 or 4?"" Children were also asked to identify the smallest of a series of four stacking cups. Children unable to complete these tasks successfully or who did not understand the instructions did not complete the scale., five months","Children's Emotional Manifestation Scale, In the scale, emotional indicators are evaluated based on five parameters. These parameters are: facial expression, voice, activity, interaction, and cooperation level. Each of these five parameters is scored on a scale from 1 to 5, with the lowest possible score being ""5"" and the highest possible score being ""25.""

In the first category, facial expression, the child's facial expressions observed by the researcher are scored on 5 items.

Secondly, in the vocalization category, the child's tearfulness is evaluated through 5 sub-items.

Thirdly, in the movement category, scoring is done based on the child's body language, using 5 sub-items.

Fourthly, in the interaction category, the child's verbal and non-verbal communication is evaluated through 5 sub-items.

Finally, in the cooperation category, the child's active or passive participation is observed and scored based on 5 sub-items., five months",,Bakirkoy Dr. Sadi Konuk Research and Training Hospital,,ALL,CHILD,NA,72,OTHER_GOV,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: SUPPORTIVE_CARE,BakırköySadiKonuk-aboke-01,2024-11-02,2025-03-26,2025-04-05,2025-04-11,,2025-04-15,"Bakirkoy Dr Sadi Konuk Researching and Training Hospital, Istanbul, 34000, Turkey",
NCT06917027,Comparison of Mobile Education and Face-to-Face Intermittent Catheterization Education,https://clinicaltrials.gov/study/NCT06917027,,COMPLETED,"Today, Clean Intermittent Catheterization (CIC) is widely used to drain urine accumulated in the bladder in acute or chronic problems such as neurogenic bladder and prostate hypertrophy.The success of the technique depends largely on patient education and follow-up.Nurses play a fundamental role in providing theoretical and practical learning in CIC training and early detection of complications. Although face-to-face education is widely used in the education of nursing students, mobile applications have become popular in recent years. There is no previous study in the literature on clean intermittent catheterization education with nursing students. The purpose of this study is to compare mobile-assisted education with face-to-face intermittent catheterization education in terms of knowledge and skill levels of nursing students.",NO,Neurogenic Bladder,OTHER: education,"""intermittent catheterization check-lists"", Intermittent catheterization check-lists evaluates the clean intermittent catheterization procedure steps. The female checklist consists of 21 items, the male checklist consists of 23 items. Each correct answer is worth 1 point, and each wrong/incomplete answer is worth 0 points. The female checklist has a maximum of 21 points, and the male checklist has a maximum of 23 points.

The checklists were filled out by the researchers 7 days after the training, based on the participants' implementation success., The checklists were filled out by the researchers 7 days after the training, based on the participants' implementation success.|clean intermittent catheterization knowledge form, The knowledge form aims to evaluate the participants' knowledge of clean intermittent catheterization. It consists of 17 questions. A minimum of 0 - a maximum of 17 points can be obtained., The knowledge form was filled out by the participants 7 days after the training.",,,Gaziler Physical Medicine and Rehabilitation Education and Research Hospital,,ALL,"ADULT, OLDER_ADULT",NA,74,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,E.1200559,2025-04-10,2025-04-17,2025-04-17,2025-04-08,,2025-04-24,"Kırıkkale University, Kırıkkale, 71000, Turkey",
NCT06916559,Comparison of Different Methods for Measuring Urinary Oxalate and Citrate: An Observational Study,https://clinicaltrials.gov/study/NCT06916559,Comparison of,COMPLETED,"This observational study aims to compare three different laboratory methods for measuring urine oxalate and citrate concentrations. The primary objective is to evaluate whether an improved High-Performance Liquid Chromatography (HPLC) method-using a novel derivatization reagent-can achieve similar accuracy to the gold standard Liquid Chromatography-Tandem Mass Spectrometry (LC-MS/MS) while offering advantages in cost, speed, and ease of use in routine clinical settings.

The study will involve the collection of morning urine samples from both healthy volunteers and patients with urolithiasis (urinary stones). Each urine sample will be tested using the following three methods:

1. Modified High-Performance Liquid Chromatography (HPLC): This method builds on traditional HPLC technology by incorporating a novel derivatization reagent to enhance the sensitivity and accuracy of detecting oxalate and citrate. The improved HPLC method is designed to be less time-consuming and more cost-effective, which could make it a viable option for regular clinical use.
2. Ion Chromatography (IC): Widely used in many hospital laboratories, the IC method detects urine oxalate and citrate without the need for a derivatization step. While this method is straightforward and convenient, its sensitivity and accuracy are expected to be lower compared to LC-MS/MS and the modified HPLC method.
3. Liquid Chromatography-Tandem Mass Spectrometry (LC-MS/MS): LC-MS/MS is currently considered the gold standard for measuring urine oxalate and citrate due to its high sensitivity and specificity. However, the method requires expensive equipment and involves complex procedures, limiting its routine application in most clinical laboratories.

Participants will provide urine samples, which will be divided and analyzed using all three methods simultaneously. The study will assess the correlation and consistency between the methods, with a particular focus on comparing the modified HPLC method to LC-MS/MS. Statistical analyses, including Bland-Altman analysis and linear regression, will be used to determine the agreement between the measurement techniques.

This study is non-interventional and involves only the collection of urine samples, posing minimal risk to participants. Informed consent will be obtained from all participants after they are fully briefed about the study objectives, procedures, and any potential risks. All collected data will be managed confidentially and analyzed rigorously to ensure the reliability of the findings.

If the modified HPLC method demonstrates comparable accuracy to LC-MS/MS, it could provide a more accessible, cost-effective, and timely option for routine clinical measurement of urinary oxalate and citrate. Such an improvement in laboratory diagnostics may support better clinical decision-making in the prevention and management of urinary stone disease, ultimately benefiting patient care.",NO,Hyperuricosuria|Hypocitraturia,,"Comparison of Uric Acid Measurements from Three Methods, The primary outcome is to compare the uric acid measurement results obtained from three analytical methods: modified High-Performance Liquid Chromatography (HPLC) using a novel derivatization reagent, Ion Chromatography (IC), and Liquid Chromatography-Tandem Mass Spectrometry (LC-MS/MS). This outcome will be evaluated by determining the mean differences, 95% confidence intervals, and correlations among the three methods using Bland-Altman analysis and linear regression. The goal is to assess whether the modified HPLC method can reliably reflect uric acid levels comparable to the LC-MS/MS gold standard., Baseline sample analysis, with all measurements completed within 24 hours of sample collection.","Comparison of Urinary Citrate Measurements from Three Methods, The secondary outcome is to evaluate and compare the urinary citrate concentration results obtained from the three methods: modified HPLC, Ion Chromatography (IC), and LC-MS/MS. The analysis will include calculating mean differences, 95% confidence intervals, and assessing the degree of correlation among the methods using statistical tools such as Bland-Altman plots and linear regression. This outcome will help determine the consistency and reliability of citrate measurements across the different analytical techniques., Baseline sample analysis, with all measurements completed within 24 hours of sample collection.",,The First Affiliated Hospital of Guangzhou Medical University,,ALL,"CHILD, ADULT, OLDER_ADULT",,122,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,ES-2024-242-01,2025-03-01,2025-03-15,2025-04-01,2025-04-08,,2025-04-08,"Department of Urology and Guangdong Key Laboratory of Urology, The First Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong, 510230, China",
NCT06911216,A Pharmacokinetics (PK) Study in Healthy Adults,https://clinicaltrials.gov/study/NCT06911216,,COMPLETED,"This is to characterize STN1013800 active ingredient bioavailability following multiple-dose ocular administration of STN1013800 to both eyes in healthy adults.

It is a PK study with screening period of up to 28 days + dosing period of 7 days + Follow-up period of 2 days.

At present, there are no medicines for the treatment of acquired blepharoptosis in China.

Therefore, efficacy and safety phase III study is also currently being conducted.",NO,Blepharoptosis,DRUG: STN1013800 ophthalmic solution,"PK (Pharmacokinetic) parameter to measure: Cmax, Blood samples will be collected on Day 1, Day 5, Day 6, and Day 7. Cmax - Peak concentration, Day 1, 5, 6, and 7|PK parameter to measure: Cmin, Blood samples will be collected on Day 1, Day 5, Day 6, and Day 7. Cmin - Minimum concentration, Day 1, 5, 6, and 7|PK parameter to measure: Tmax, Blood samples will be collected on Day 1, Day 5, Day 6, and Day 7. Tmax - Peak time, Day 1, 5, 6, and 7|PK parameter to measure: AUC0-24h, Blood samples will be collected on Day 1, Day 5, Day 6, and Day 7. AUC0-24h - The area under the drug-time curve for the quantifiable time period from 0 to 24 hours after drug administration., Day 1, 5, 6, and 7|PK parameter to measure: AUC0-36h, Blood samples will be collected on Day 1, Day 5, Day 6, and Day 7. AUC0-36h - The area under the drug-time curve from 0 to 36 hours after drug administration, Day 1, 5, 6, and 7|PK parameter to measure: AUCinf, Blood samples will be collected on Day 1, Day 5, Day 6, and Day 7. AUCinf - The area under the drug-time curve from 0 to infinity after drug administration, Day 1, 5, 6, and 7|PK parameter to measure: kel, Blood samples will be collected on Day 1, Day 5, Day 6, and Day 7. kel - Elimination rate constant. The negative of the slope value obtained by taking the logarithm of the plasma concentration in the vanishing phase of the time curve and performing linear regression on time obtained., Day 1, 5, 6, and 7|PK parameter to measure: t½, Blood samples will be collected on Day 1, Day 5, Day 6, and Day 7. t½ - Elimination half-life, Day 1, 5, 6, and 7",,,"Santen Pharmaceutical Co., Ltd.",,ALL,ADULT,EARLY_PHASE1,8,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,101380004CN,2025-03-17,2025-04-07,2025-04-07,2025-04-04,,2025-04-22,"Beijing Chaoyang Hospital, Capital Medical University, Beijing, China",
NCT06907940,Upper Extremity Stability and Balance in Youth Basketball Players,https://clinicaltrials.gov/study/NCT06907940,,COMPLETED,"Ball games require extensive skill, including physical, technical, mental and tactical abilities. Among them, the physical abilities of the players show obvious effects on the players' own skills and the tactics of the team. It involves skillful moves that include shooting, defending, and dribbling. It requires repeated maximum effort, such as a.",NO,Balanced,,"Star Excursion Balance Test, Eight directions including anterior, superomedial, medial, inferomedial, posterior, inferolateral, lateral, and superolateral were marked on floor by tapes with scale and the angle between each strip of tape were 45°. The minimum unit of the UESEBT was 0.5 cm. Distances for analysis were normalized by dividing the right upper limb length of every participant, and then multiplying by 100., day 1|Medicine Ball Throwing, Individuals will be asked to take a position in front of a wall, with feet shoulder-width apart, to grasp the medicine ball with both hands. A medicine ball weighing three kg will be used in this test. Individuals will be asked to bring the medicine ball upside down and throw it forward.The distance the ball is thrown will be recorded, day 1|Upper extremity Y Test, Upper extremity lengths are determined by measuring the distance between the C7 cervical vertebra processus spinosus and the middle fingertip of the athletes. In this position, the athletes are positioned perpendicular to the middle extension of the Y balance kit (the arm that makes an angle of 135° with the other ends). Afterwards, the athlete is asked to push the platform apparatus along the superior and inferior arms, which are lateral to the lateral side of his fixed hand, and take it to the last point it can take. Y balance scores were found using the reach distance and limb length in each direction., day 1|Closed Kinetic Chain Upper Extremity Stability Test (TEST), Individuals were positioned in the push-up position, with their bodies aligned in a straight line when viewed from the side, with a distance of 90 cm between their hands. The athletes were asked to touch the dorsum of the dominant hand and the other hand within 15 seconds, and the total number of repetitions was recorded., day 1|Push Up Test., The push-up test was performed with the participant pushing their arms off the floor until their elbows were straight while keeping their legs and back straight. This movement was repeated as many times as possible, ending when the subject stopped or the participant did not perform the push-ups properly or held the correct position several times., day 1",,,Istanbul Medipol University Hospital,,MALE,"CHILD, ADULT",,73,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,Star Balance Test Adolescent,2025-02-06,2025-04-06,2025-04-25,2025-04-03,,2025-04-30,"Bahceşehir University Health Center, Istanbul, 34070, Turkey",
NCT06901115,Corkscrew Technique: A Novel Modification in Transurethral Resection of Large Prostate (60-100 g) Optimizing Resection Efficacy and Safety: A Double-blind Randomized Controlled Trial,https://clinicaltrials.gov/study/NCT06901115,,COMPLETED,"Transurethral resection of the prostate (TURP) is still the gold standard for surgical management of enlarged prostate. However, many techniques and minimally invasive procedures are now in the comparative track with Bipolar resection as Laser enucleation.

Multiple drawbacks of Classic TURP problems related to large prostate management as the retreatment after Bipolar resection, another issue that prolonged operative time, Loss of orientation during resection due to rotation of one of the 2 kissing lobe, Bleeding of the 1st lobe resection side make the 2nd lobe resection harder and lengthier, Median lobe resection or bladder neck resection is done at last to avoid sub-trigonal injury. however, due to median lobe obstruction, irrigation is poor during all the resection. length of learning curve, the modification of early median lobe resection carry the risk of sub-trigonal injury.

So, this study is a trial to analyze the effect of new technique in resection of large prostate with good orientation and less time of operation.",NO,TURP(Transurethral Resection of Prostate)|BPH (Benign Prostatic Hyperplasia)|Prostate,PROCEDURE: Nesbit technique|PROCEDURE: Modified Blandy technique,"Weight of resected tissue, The weight of resected tissue measured in grams using laboratory scale device., within one hour postoperatively|Resection time, Resection time measured in minutes by documenting the time of resection start and time of resection end., the operative time|Complication rate, Complication rate is measured by number of complications occurred., the operative time","Change in International Prostate symptom score (IPSS), The change in International Prostate Symptom Score (IPSS) is measured by difference between preoperative and postoperative IPSS. IPSS is measured by IPSS scoring system in form of numbers, where minimum score is 0 representing no symptoms and maximum score is 35 representing the most sever symptoms., one month postoperatively|Change in Qmax, The change in IPSS score is measured by difference between preoperative and postoperative Qmax. Qmax (maximum flow rate) is measured using uroflowmetry and measured by ml/sec., One month postoperatively|Change in postvoid residual volume, The change in postvoid residual volume is measured by difference between preoperative and postoperative postvoid residual volume. postvoid residual volume is assessed using pelviabdominal ultrasound and measured by centimeter cubic., One month postoperatively|Change in hemoglobin level, The change in hemoglobin is measured by difference between preoperative and postoperative hemoglobin level. Hemoglobin level is assessed using Complete Blood Count and measured by g/dl., One day postoperatively",,Menoufia University,,MALE,"CHILD, ADULT, OLDER_ADULT",NA,90,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",Modified Blandy 2 technique,2024-11-01,2025-04-01,2025-04-28,2025-03-28,,2025-05-02,"Menoufia Faculty of Medicine, Shebin El-Kom, Menoufia, 32511, Egypt",
NCT06896604,Changes in Optic Nerve Sheath Diameter in Desflurane Based General Anesthesia During Laparoscopic Cholecystectomies,https://clinicaltrials.gov/study/NCT06896604,,COMPLETED,"In this study, the investigators to observe the effects of different fresh gas flow rates, which are frequently used in general anesthesia practice, on optic nerve sheath diameter during laparoscopic cholecystectomy surgeries under general anesthesia with desflurane.",NO,Optic Nerve Sheath Diameter,DEVICE: Ocular Ultrasonography for measuring Optic Nerve Sheath Diameter,"Ultrasonographic Measurement of Optic Nerve Sheath Diameter for Observing Intracranial Pressure Increase, Investigation of the Effects of Desflurane Administration with Different Fresh Gas Flow Rates on Optic Nerve Sheath Diameter, through study completion, an average of 2 months","Monitoring Cerebral Perfusion Using Near-Infrared Spectroscopy, Comparison of the Effects of Different Fresh Gas Flow Rates on Cerebral Perfusion, through study completion, an average of 2 months",,Fatih Sultan Mehmet Training and Research Hospital,,ALL,"ADULT, OLDER_ADULT",,64,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,FSMTRH-AR-MGO-01,2025-02-01,2025-04-01,2025-04-15,2025-03-26,,2025-04-16,"Fatih Sultan Mehmet Training and Research Hospital, Istanbul, Atasehir, 34752, Turkey",
NCT06894537,Echo-guided Percutaneous Electrical Nerve Stimulation of the Femoral Nerve,https://clinicaltrials.gov/study/NCT06894537,,COMPLETED,"Introduction. Variables such as pain and strength can be modified in the short and medium term by the application of currents. The percutaneous form of percutaneous needle-guided acupuncture can eliminate the impedance of the surrounding tissues that limit the optimal diffusion of the current to the target tissue. It is necessary to objectify the metabolic response of this technique and its effects in terms of strength and metabolic response.

Objective. To evaluate the safety and efficacy, in acute and subacute phases, of percutaneous electrical nerve stimulation in healthy subjects.

Method. Single-blind randomised clinical study. Thirty-two subjects will be recruited and randomised to the experimental and control groups. The intervention in the experimental group will consist of a percutaneous percutaneous electrical nerve stimulation of the femoral nerve, while in the control group the same intervention will be performed without increasing the intensity of the current. The primary variable will be vertical jump height (My Jump® iOS app) and the secondary variable will be skin temperature (Hikmicro M60 model Hangzhou).",NO,Health Subjects,OTHER: Experimental (percutaneous echo-guided electrical nerve stimulation)|OTHER: Control (placebo) group,"Change from baseline jump height after warming, treatment and at 1 and 24 hours, Using the My Jump® application (iOS app), the jump height is evaluated. This tool measures the time in the air (in milliseconds), indirectly assessing the height of the jump (in centimetres). This tool has shown a high reliability in the evaluation of counter movement jump. The unit of measurement is centimetres (cm), where the higher the centimetres, the higher the jump height., Baseline, within the first seven days after warming, treatment and after 1 and 24 hours follow-up visit","Change from baseline muscle power after warming, treatment and at 1 and 24 hours, The metabolic response will be measured with a thermography device (Hikmicro M60 model Hangzhou camera). This complementary imaging technique analyses infrared radiation emitted by object surfaces (skin) and reflects the state of molecular agitation, providing objective information on the metabolic state of the underlying structures. The assessment shall be performed according to the consensus document on control variables in thermographic assessment., Baseline, within the first seven days after warming, treatment and after 1 and 24 hours follow-up visit",,Universidad Católica San Antonio de Murcia,,ALL,ADULT,NA,32,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: OTHER,ECO-est,2025-03-18,2025-03-25,2025-04-01,2025-03-25,,2025-04-02,"Universidad Católica San Antonio de Murcia, Murcia, Asturias, 33006, Spain",
NCT06892327,BIOmetric MEasurements in Diagnostics: Comparison of EXperts and IA-assisted Residents,https://clinicaltrials.gov/study/NCT06892327,BIOMEDEXIA,COMPLETED,"Obstetric ultrasound is the cornerstone of fetal growth assessment. It provides essential biometric measurements for estimating fetal weight, monitoring growth and identifying conditions such as intrauterine growth retardation (IUGR) or macrosomia. The accuracy of these measurements depends largely on the expertise of the operator. Experienced practitioners excel at positioning the probe, identifying anatomical landmarks and obtaining reproducible measurements. In contrast, novice operators, such as medical residents, may find it difficult to capture optimal images or identify precise landmarks, resulting in significant variability. This inter-observer variability, well documented even among experts, can have an impact on clinical decisions and obstetric management. For novices, variability is more pronounced, which can affect diagnostic reliability and patient care. Improving resident training is therefore essential to reduce this variability. Traditional solutions to minimizing variability, such as increased supervision, face limitations due to time constraints and resource availability. Recent advances in Artificial Intelligence (AI) could help in the training of residents. In obstetrics, AI could potentially automate biometric measurements by identifying key anatomical landmarks and performing precise, consistent measurements. These systems might standardize acquisition and reduce variability, making measurements less dependent on operator experience. AI technologies could significantly improve novice performance by potentially shortening the learning curve and enhancing measurement reliability. This might enable residents to work more independently while maintaining accuracy. Despite these potential advantages, few studies would have rigorously compared AI-assisted novice performance with that of expert practitioners under real-world conditions.This study aims to assess the possible effectiveness of AI in supporting novice operators during obstetric biometric measurements. The primary objective would be to determine whether AI assistance could enable novices to achieve measurement accuracy comparable to that of experienced practitioners, while potentially improving reproducibility and reducing inter-observer variability.",NO,Pregnancy,OTHER: standard biometric ultrasound,"Accuracy of biometric measurements: Assessment of agreement between manual and AI-assisted measurements., The individual biometric measurements, such as biparietal diameter (BPD), head circumference (HC), abdominal circumference (AC), and femur length (FL), will be presented separately based on their respective units (cm).

The estimated fetal weight, which will be based on the aggregation of these various measurements (BPD, HC, AC, FL), will be reported in kilograms (kg). This estimate will be calculated using fetal growth formulas adapted to these parameters.

We will clarify that the fetal weight estimate will be calculated based on a model that incorporates these different measurements in the appropriate units.

In summary, each measurement will be clearly separated based on its unit, and the fetal weight estimate will be explained to show how the different measurements are combined., 36 weeks amenorrhea",,,Hospices Civils de Lyon,,FEMALE,ADULT,,60,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,CRC_GHN_2025_001,2025-04-01,2025-04-01,2025-04-01,2025-03-24,,2025-04-25,"Hospices Civils de Lyon, Maternité Croix Rousse, Lyon, 69004, France",
NCT06891027,Loss of Parental Workforce in Paediatric Fractures,https://clinicaltrials.gov/study/NCT06891027,,COMPLETED,"Childhood fractures are frequently encountered in orthopaedic practice. 40-64% of boys and 25-40% of girls have at least one fracture by the age of 16. Children, who are more fragile than adults, usually require additional care support during the treatment process. Labour force statistics have determined that one third of the loss of labour force occurs after musculoskeletal injuries.

When the literature is examined, there are many studies investigating loss of labour force after fractures. It was found that 20% of the patients never returned to work after distal radius fracture and the average loss of labour force was 9.2 weeks. In another study, while the return to work period was 60 days in minor hand injuries, it was reported that the return to work could increase to 360 days in major hand injuries. In another study, the average return to work time in patients aged \>50 years with fragility fractures was found to be 20.5 days. The rate of return to work after traumatic spinal fracture was found to be only 38.1%.

In daily practice, the investigators observe that parents frequently do not go to work for child care after child fractures. However, there is no similar study investigating this loss of labour force after pediatric fractures in the literature. In this study, the investigators aimed to investigate the loss of parental labour force (LWL) in conservatively followed pediatric fractures",NO,Pediatric Fractures|Lower Extremity Fractures|Upper Extremity Fractures,,"Loss of Parental Workforce Questionnaire, A questionnaire called ""Loss of Parental Workforce Questionnaire"" will be used to evaluate the parental workforce loss. Also with this questionnaire the effect of treatment choice (conservative or surgical) to parental workforce loss will be assessed., from first presentation after fracture to the end of treatment (approximately 6 weeks in conservative cases, 3 months in surgical treatments)","Children's Return to School Time, ""Loss of Parental Workforce Questionnaire"" will also be used to assess Children's Return to School Time., from first presentation after fracture to the end of treatment (approximately 6 weeks in conservative cases, 3 months in surgical treatments)",,Ankara Etlik City Hospital,,ALL,"CHILD, ADULT",,203,OTHER_GOV,OBSERVATIONAL,Observational Model: |Time Perspective: p,AEŞH-BADEK-2024-1169,2024-11-20,2025-01-10,2025-04-30,2025-03-24,,2025-05-04,"Ankara Etlik City Hospital, Ankara, Yenimahalle, 06170, Turkey",
NCT06875921,McKenzie vs Pilates Exercises in People With Chronic Low Back Pain,https://clinicaltrials.gov/study/NCT06875921,,COMPLETED,"Brief Summary: Chronic low back pain (CLBP) is a persistent condition lasting more than 12 weeks, often leading to pain, disability, and reduced quality of life. This clinical study aims to compare the effectiveness of McKenzie and Pilates exercise programs in managing CLBP symptoms. A total of 32 participants will be randomly assigned to two equal groups: one performing McKenzie exercises and the other engaging in Pilates routines. The intervention will span three weeks. Outcomes will be assessed using the Visual Analogue Scale (VAS) for pain intensity, the Roland-Morris Disability Questionnaire (RMDQ) for functional impairment, a pressure algometer for pain sensitivity (PPT), and the Fingertip-to-Floor test (FTF) for range of motion (ROM). A two-way repeated-measures ANOVA will be used for statistical analysis, with significance set at p \< .05.",NO,Chronic Low Back Pain,OTHER: McKenzie Exercise Group|OTHER: Pilates Exercise Group,"Changes in Low Back Pain (LBP) Intensity Using the Visual Analog Scale (VAS), The VAS is a 10 cm pain scale with no numerical markings. The left end represents ""No pain,"" while the right end corresponds to ""Worst possible pain."" A higher score indicates greater pain intensity. Participants will complete the scale twice-before and after the intervention-marking the level of pain experienced over the past 24 hours. Pain intensity will be quantified by measuring the distance from the zero point (""No pain"") to the indicated score, Pre-treatment, Post-treatment (Week 3)|Changes in Pressure Pain Threshold (PPT) Using Pressure Algometry, Pressure pain threshold (PPT) refers to the minimum amount of pressure required to elicit pain. A digital algometer will be used to measure PPT bilaterally at the L4-L5 intervertebral space. The device's metal rod will be placed perpendicularly on the site, and pressure will be gradually increased at a rate of 1 kg/s until the participant reports pain. PPT will be recorded in N/cm²., Pre-treatment, Post-treatment (Week 3)|Changes in Functional Capacity Using the Greek Version of the Roland-Morris Disability Questionnaire (RMDQ), Functional capacity will be assessed using the validated Greek version of the Roland-Morris Disability Questionnaire (RMDQ), which consists of 24 items addressing daily activities impacted by low back pain. Each selected statement adds one point to the total score, with higher values indicating greater disability., Pre-treatment, Post-treatment (Week 3)|4. Changes in Lumbar Spine Flexion Range of Motion Using the Fingertip-to-Floor (FTF) Test, Spinal mobility will be evaluated using the Fingertip-to-Floor Test, a widely used clinical tool for assessing trunk flexion. Participants will be asked to bend forward and reach toward the ground while keeping their knees and hips extended. The examiner will measure the vertical distance between the participant's fingertips and the floor using a tape measure., Pre-treatment, Post-treatment (Week 3)",,,International Hellenic University,,ALL,ADULT,NA,32,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,EC-7 2025,2025-03-10,2025-04-20,2025-04-20,2025-03-13,,2025-04-30,"Department of Physiotherapy, Faculty of Health Sciences International Hellenic University, Thessaloniki, Greece",
